year,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Annual
1963,44.3,57.4,51.4,52.9,60.7,64.4,69.7,69.6,71.3,63,51.5,46.4,58.5
1964,45.2,47.7,49.1,54.6,58.4,66.2,72.4,71.4,65,65,50.6,50.7,58
1965,49,49.3,52.4,56.6,61,61.6,69.6,73.8,M,63.1,53.8,44.4,57.7
1966,44.6,46.6,54.1,60,61.5,68.3,69.6,72,67.3,61.7,53.8,47.4,58.9
1967,47.5,50.9,51.9,49.1,62.6,65.2,74.6,75,71.6,62.6,55.8,43.6,59.2
1968,45.8,55.8,53.4,56.6,60.8,67.8,72,68.9,67.7,60.7,52.9,44.1,58.9
1969,47.6,47.7,52.5,56.8,64.4,65.6,71.7,73.5,69.7,58.5,53.1,47.7,59.1
1970,50.4,51.9,54.3,53.5,63.5,66.9,72.7,72.4,66.9,58.3,53.8,46.8,59.3
1971,46.7,49.6,53.3,54.1,59.2,66.8,72.6,73.4,68.8,57.2,49.7,43.7,57.9
1972,43.9,52.5,58.4,56.9,61.6,68.4,70.9,72.1,64.6,59.7,50.6,43.1,58.6
1973,44.4,51.4,48.8,56.6,63.8,68.8,M,69.9,66.5,60.4,50.6,48,57.2
1974,48.5,48.4,53.1,56,60.6,68.4,73,70.5,70,62,51.7,46.4,59.1
1975,46.8,50.5,51.1,51.7,62,65,70,69.2,70.4,59.5,50.9,46.6,57.8
1976,47,50.3,52.7,54.2,63.4,67.2,73.1,69.2,69.5,63.2,54.7,46,59.2
1977,46.6,52.2,49.1,57.1,58.2,69.1,72,74,66.9,63.1,53.7,53,59.6
1978,51,51.6,57,54.8,63.1,68.8,72.5,71.8,68.1,64.9,50.9,43,59.8
1979,46.2,48.6,53.5,57.2,63.9,70,73.2,70.8,73,63.5,53.3,48.8,60.2
1980,52.4,54.4,52.4,57.7,60.2,66.7,73.6,70.7,67.7,64.2,53.6,50,60.3
1981,51.7,54,54.2,59,64.5,73.6,70.6,73.4,69.6,58.7,54.8,49.8,61.2
1982,44.9,52.7,51.8,56.4,62.8,63.5,71,73.3,68,61.9,50.6,46.8,58.6
1983,48.9,52.7,54.3,54.2,64.5,68,70,73.4,71.5,65.1,53.9,50.8,60.6
1984,49.5,51,56.5,56.7,69.1,68.3,74.4,73.6,73.7,59.6,51.7,45.6,60.8
1985,45.6,50.4,50.8,M,61.5,69.3,M,70.4,64.5,M,51.1,47.4,56.8
1986,52.8,53.9,M,M,M,67.8,M,73.1,62.6,M,54.4,47.2,58.8
1987,M,51.4,M,61.4,64.6,M,68.4,68.8,M,M,52,M,61.1
1988,46.4,M,55.8,M,M,M,M,M,M,M,M,45.5,49.2
1989,46.3,48.9,57.4,62.2,63.3,68.3,74.8,69.3,68.9,62.5,54.7,47.3,60.3
1990,47.9,46.4,55,61.4,59.9,70.7,73.8,72.8,70.4,63.2,51.5,40.1,59.4
