year,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Annual
2008,69,77,81,94,104,108,110,106,107,98,89,80,110
2009,79,79,81,99,104,105,109,108,107,88,87,72,109
2010,72,75,81,87,93,101,107,108,108,100,91,70,108
2011,76,77,77,88,92,100,106,102,104,93,85,70,106
2012,77,79,86,97,98,105,108,111,103,105,91,70,111
2013,73,78,88,96,101,110,109,105,102,91,84,77,110
2014,83,79,88,91,103,105,106,105,106,103,86,74,106
2015,77,80,91,93,95,104,104,106,105,101,90,71,106
2016,68,84,82,95,93,109,107,105,105,93,88,70,109
2017,72,73,86,86,98,105,110,109,114,100,90,79,114
2018,78,83,87,89,93,104,108,106,105,91,88,69,108
2019,74,66,78,90,87,102,105,104,105,94,89,72,105
2020,70,81,77,93,103,105,105,112,115,105,93,79,115
2021,82,76,86,93,96,106,111,106,107,96,83,83,111
2022,71,83,89,97,100,108,106,105,112,98,78,69,112
2023,68,72,69,91,97,97,110,103,100,98,86,74,110
2024,78,73,80,87,93,104,112,106,108,107,76,75,112
2025,78,81,89,91,84,M,M,M,M,M,M,M,91
